epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1319.1,1.30103,1.97532,1.18197,0.40342,0.24682,0.2673,0.11775,2.65364,3.40592,2.09263,0.000546557,0.000546557,0.000546557
2,1407.36,1.21433,1.4332,1.15414,0.408,0.20212,0.1507,0.04894,3.04966,4.89146,2.84481,0.00109131,0.00109131,0.00109131
3,1498.02,1.28412,1.34747,1.21716,0.28877,0.23583,0.22749,0.08195,2.83924,6.84178,2.40734,0.00162506,0.00162506,0.00162506
4,1592.81,1.23096,1.28087,1.17557,0.42,0.26929,0.27574,0.11858,2.47584,3.54988,2.07468,0.00161749,0.00161749,0.00161749
5,1692.04,1.17808,1.11405,1.14639,0.03173,0.25207,0.00545,0.00157,2.95045,164.785,2.6742,0.00160099,0.00160099,0.00160099
6,1783.09,1.14252,1.07967,1.13966,0.28086,0.25793,0.22789,0.08742,2.62964,3.12595,2.11646,0.00158448,0.00158448,0.00158448
7,1880.1,1.07237,1.04355,1.11245,0.38586,0.27491,0.28321,0.12648,2.40312,2.80253,1.98883,0.00156798,0.00156798,0.00156798
8,1981.06,1.05126,0.97729,1.11135,0.3739,0.28065,0.29279,0.13386,2.55156,2.71396,2.08595,0.00155148,0.00155148,0.00155148
9,2070.53,1.03964,0.97594,1.09913,0.40437,0.35171,0.32648,0.15049,2.28831,2.48078,1.93305,0.00153497,0.00153497,0.00153497
10,2165.33,0.99589,0.92332,1.07737,0.40961,0.32523,0.31845,0.14339,2.44082,2.31732,2.02737,0.00151847,0.00151847,0.00151847
11,2253.73,0.94979,0.85013,1.0416,0.44517,0.21885,0.274,0.12192,2.47338,2.73204,2.04514,0.00150197,0.00150197,0.00150197
12,2344.6,0.925,0.84117,1.03052,0.33163,0.23882,0.25357,0.1146,2.49286,2.66797,2.06004,0.00148546,0.00148546,0.00148546
13,2432.22,0.90451,0.79436,1.02553,0.39872,0.32572,0.33907,0.15464,2.53284,2.26016,2.14059,0.00146896,0.00146896,0.00146896
14,2520.93,0.89556,0.78666,1.02334,0.49441,0.29274,0.31282,0.1282,2.60868,2.35613,2.05751,0.00145246,0.00145246,0.00145246
15,2610.65,0.85025,0.7367,1.00257,0.46386,0.24694,0.26896,0.10486,2.81635,2.93229,2.36469,0.00143595,0.00143595,0.00143595
16,2695.19,0.84105,0.73448,1.00871,0.49356,0.3527,0.38044,0.16881,2.46473,2.35137,2.05399,0.00141945,0.00141945,0.00141945
