epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1353,2.07664,5.09622,1.63982,0.26126,0.14142,0.1196,0.05618,2.23866,5.38829,1.85381,8.335e-05,8.335e-05,8.335e-05
2,56.5773,1.77604,3.23707,1.32081,0.23079,0.20322,0.18609,0.06607,2.44252,4.82549,1.82729,0.000179739,0.000179739,0.000179739
3,77.0155,1.47584,2.13044,1.1949,0.27473,0.17978,0.17898,0.07184,2.26882,5.1898,1.69694,0.000272168,0.000272168,0.000272168
4,99.2282,1.14905,2.10221,1.06136,0.31989,0.15718,0.16556,0.07211,2.36395,11.3583,1.77306,0.000360635,0.000360635,0.000360635
5,127.2,0.98814,2.34051,1.066,0.23176,0.19903,0.16665,0.08203,2.44415,5.93197,1.93365,0.000445142,0.000445142,0.000445142
6,157.868,0.92741,1.85881,0.99819,0.02408,0.17366,0.01364,0.0057,2.55427,29.8739,2.05602,0.000525688,0.000525688,0.000525688
7,193.278,0.86441,1.87359,0.98384,0.15449,0.11798,0.0695,0.03145,2.70725,7.96599,2.18659,0.000602274,0.000602274,0.000602274
8,235.443,0.76509,1.41826,0.9401,0.25355,0.12921,0.14128,0.05987,2.74689,23.4473,2.22053,0.000674898,0.000674898,0.000674898
9,277.901,0.74873,1.53102,0.96827,0.01579,0.12909,0.00955,0.00396,2.78028,65.4758,2.21143,0.000743562,0.000743562,0.000743562
10,325.041,0.73556,1.47165,0.96283,0.3552,0.20688,0.1955,0.08533,2.80023,5.10095,2.40302,0.000808265,0.000808265,0.000808265
11,366.777,0.67429,1.17534,0.93903,0.29189,0.11785,0.09903,0.04283,2.71164,4.21439,2.30576,0.000869007,0.000869007,0.000869007
12,399.776,0.52483,0.94161,0.90987,0.15967,0.12347,0.06219,0.02524,2.92223,4.34893,2.42269,0.000925788,0.000925788,0.000925788
13,427.534,0.52945,0.8763,0.90476,0.02393,0.05044,0.00854,0.00396,2.96689,11.704,2.50446,0.000978609,0.000978609,0.000978609
14,452.01,0.54709,0.7888,0.86063,0.00414,0.19614,0.00282,0.00113,3.01531,97.4556,2.56657,0.00102747,0.00102747,0.00102747
15,466.152,0.52715,0.9159,0.86186,0.00414,0.19614,0.00282,0.00113,3.01531,97.4556,2.56657,0.00107237,0.00107237,0.00107237
16,487.448,0.6044,1.3474,0.91226,0.01057,0.10649,0.0056,0.00215,3.14358,49.8264,2.7597,0.00111331,0.00111331,0.00111331
17,514.073,0.6696,1.41183,1.0101,0.06021,0.08964,0.01801,0.00715,3.08372,5.94024,2.61786,0.00113889,0.00113889,0.00113889
18,541.036,0.63898,0.87604,0.91002,0.08835,0.19614,0.05745,0.02077,3.07306,9.82299,2.5737,0.00110589,0.00110589,0.00110589
19,556.296,0.43624,0.70532,0.82582,0.08835,0.19614,0.05745,0.02077,3.07306,9.82299,2.5737,0.00107288,0.00107288,0.00107288
20,580.953,0.47127,0.74418,0.87741,0.07945,0.10662,0.03205,0.01113,3.02332,177.991,2.40192,0.00103987,0.00103987,0.00103987
21,607.386,0.44445,0.5708,0.85294,0.19536,0.09526,0.06868,0.02766,2.96396,6.75577,2.34769,0.00100687,0.00100687,0.00100687
22,630.951,0.48051,0.49599,0.86065,0.06305,0.06729,0.01626,0.00648,3.05374,5.50834,2.43746,0.000973861,0.000973861,0.000973861
23,645.112,0.40483,0.49151,0.83656,0.06305,0.06729,0.01626,0.00648,3.05374,5.50834,2.43746,0.000940855,0.000940855,0.000940855
24,666.571,0.40826,0.4336,0.83722,0.03328,0.11056,0.01736,0.00658,3.07853,6.70867,2.42316,0.000907848,0.000907848,0.000907848
25,683.16,0.42519,0.40455,0.82436,0.04156,0.14033,0.01602,0.00654,3.03545,6.76134,2.34409,0.000874842,0.000874842,0.000874842
