epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4551,1.70771,3.28469,1.40149,0.22873,0.22472,0.23092,0.09401,2.35932,7.53012,1.79398,0.00018337,0.00018337,0.00018337
2,205.593,1.4201,2.24435,1.22122,0.58929,0.19076,0.17596,0.09555,2.23436,5.36531,1.81484,0.000379614,0.000379614,0.000379614
3,302.155,1.43643,1.96396,1.27568,0.03495,0.11199,0.01257,0.00502,2.32421,16.2443,1.78522,0.000571898,0.000571898,0.000571898
4,410.899,1.36526,2.08487,1.2182,0.26017,0.10649,0.10401,0.03579,2.86448,8.43623,2.18538,0.00076022,0.00076022,0.00076022
5,542.073,1.51321,2.00807,1.23955,0.1946,0.07865,0.06603,0.02583,3.02959,7.51423,2.32176,0.000944582,0.000944582,0.000944582
6,685.442,1.36583,1.63689,1.22433,0.22631,0.101,0.06781,0.03219,3.17159,6.83506,2.5898,0.00112498,0.00112498,0.00112498
7,822.664,1.43564,1.65624,1.29565,0.01765,0.07865,0.00659,0.00243,3.50705,16.0644,2.88026,0.00130142,0.00130142,0.00130142
8,958.089,1.37377,1.8245,1.21512,0.42547,0.08415,0.00973,0.00474,3.29892,44.9503,2.70517,0.0014739,0.0014739,0.0014739
9,1104.49,1.37012,1.87518,1.28962,0.02311,0.0447,0.00248,0.00098,3.2471,120.984,2.58754,0.00153497,0.00153497,0.00153497
10,1205.54,1.45323,1.68433,1.33148,0.0065,0.05581,0.0014,0.00047,3.6633,62.6925,4.01437,0.00151847,0.00151847,0.00151847
11,1476.61,1.33732,1.51442,1.25738,0.07753,0.03358,0.01572,0.00781,3.07434,74.0716,3.30418,0.00150197,0.00150197,0.00150197
12,1562.57,1.33025,1.49496,1.2876,0.01678,0.04482,0.00232,0.00074,3.41061,30.4968,3.22354,0.00148546,0.00148546,0.00148546
13,1670.18,1.35826,1.34798,1.27347,0.1213,0.12884,0.01456,0.00527,2.99158,19.5054,2.58531,0.00146896,0.00146896,0.00146896
14,1770.5,1.2903,1.1631,1.18008,0.03078,0.08402,0.00476,0.00176,2.73946,80.1274,2.56823,0.00145246,0.00145246,0.00145246
15,1889.9,1.33054,1.26907,1.27321,0.58671,0.11761,0.10196,0.04625,2.79182,4.81376,2.36633,0.00143595,0.00143595,0.00143595
16,2003.42,1.2664,1.24413,1.23826,0.22639,0.10063,0.08699,0.04272,2.92094,5.29777,2.69502,0.00141945,0.00141945,0.00141945
17,3162.62,1.3548,1.29447,1.30865,0.33571,0.12872,0.11075,0.04139,2.98492,2.98352,2.53078,0.00140295,0.00140295,0.00140295
18,6161.31,1.36554,1.31306,1.33307,0.16541,0.05581,0.03749,0.01692,2.86848,2.80917,2.2617,0.00138644,0.00138644,0.00138644
19,7480.02,1.25619,1.19208,1.25764,0.48516,0.11761,0.11487,0.0473,2.76578,3.08668,2.25772,0.00136994,0.00136994,0.00136994
20,7668.59,1.1865,1.04655,1.20578,0.51524,0.15107,0.14924,0.0688,2.6716,3.66162,2.23725,0.00135344,0.00135344,0.00135344
21,7812.08,1.07745,0.98095,1.11471,0.47894,0.16805,0.17624,0.08029,2.71519,2.7551,2.26539,0.00133693,0.00133693,0.00133693
22,7977.15,1.13862,0.97895,1.20574,0.59743,0.10075,0.10148,0.04915,2.76904,2.66071,2.3546,0.00132043,0.00132043,0.00132043
