epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.763,1.54492,2.39732,1.29124,0.32812,0.11224,0.11709,0.06464,2.27704,10.451,1.72912,0.00045009,0.00045009,0.00045009
2,263.642,1.43798,1.82023,1.27031,0.24883,0.23922,0.18043,0.0889,2.44424,3.98094,1.94262,0.000907773,0.000907773,0.000907773
3,419.293,1.47432,1.78012,1.33858,0.20113,0.19663,0.13292,0.06401,2.52582,6.58939,2.21718,0.00135621,0.00135621,0.00135621
4,598.229,1.53685,1.61808,1.31018,0.00346,0.05618,0.00162,0.00091,2.64854,166.373,2.21154,0.00161749,0.00161749,0.00161749
5,773.393,1.41562,1.62345,1.31537,0.00769,0.09538,0.00282,0.00134,2.95608,35.2103,2.72995,0.00160099,0.00160099,0.00160099
6,942.184,1.39014,1.38357,1.27204,0.00572,0.17379,0.00237,0.00098,2.91413,148.177,2.9995,0.00158448,0.00158448,0.00158448
7,1108.33,1.35076,1.25325,1.24322,0.22887,0.13471,0.10044,0.04584,2.65011,6.34515,2.51925,0.00156798,0.00156798,0.00156798
8,1416.82,1.29782,1.17984,1.2455,0.15502,0.12872,0.05206,0.02538,2.63207,7.11258,2.45442,0.00155148,0.00155148,0.00155148
9,1574.57,1.33198,1.17733,1.23058,0.39531,0.21262,0.19444,0.07605,2.65658,2.8382,2.31772,0.00153497,0.00153497,0.00153497
10,1728.71,1.26704,1.05561,1.21331,0.28698,0.12921,0.13695,0.05623,2.63466,2.40773,2.21412,0.00151847,0.00151847,0.00151847
11,1892.61,1.23835,1.05621,1.19249,0.41958,0.20688,0.19298,0.08731,2.49448,3.57657,2.13133,0.00150197,0.00150197,0.00150197
12,2072.25,1.19946,1.00048,1.18848,0.39051,0.18857,0.1736,0.08057,2.59995,3.05126,2.22703,0.00148546,0.00148546,0.00148546
13,5639.71,1.13114,0.92583,1.1561,0.40147,0.10038,0.08202,0.04254,2.5683,2.22998,2.18903,0.00146896,0.00146896,0.00146896
14,7472.35,1.16458,0.8833,1.16378,0.35963,0.18539,0.19578,0.0829,2.68902,2.4099,2.18443,0.00145246,0.00145246,0.00145246
15,7734.55,1.15043,0.91636,1.18641,0.43052,0.16014,0.17506,0.08223,2.54377,2.6582,2.0452,0.00143595,0.00143595,0.00143595
16,7935.68,1.10411,0.94321,1.17021,0.33437,0.16805,0.1638,0.07233,2.46584,2.43708,1.95027,0.00141945,0.00141945,0.00141945
17,8140.46,1.07762,0.83752,1.10372,0.36481,0.24935,0.26721,0.12087,2.63587,2.57572,2.11703,0.00140295,0.00140295,0.00140295
18,8213.79,1.05571,0.8337,1.10665,0.44972,0.34511,0.36374,0.15459,2.52407,2.45527,2.0031,0.00138644,0.00138644,0.00138644
19,8277.34,1.04499,0.79163,1.09178,0.40625,0.37275,0.37054,0.17407,2.38696,2.8657,1.92216,0.00136994,0.00136994,0.00136994
20,8331.64,0.97099,0.72891,1.07592,0.41338,0.3256,0.30816,0.14277,2.61047,2.74217,2.14825,0.00135344,0.00135344,0.00135344
21,8385.48,0.9857,0.76253,1.09242,0.39367,0.28639,0.30513,0.14462,2.40733,2.56082,2.01641,0.00133693,0.00133693,0.00133693
22,8436.85,0.94605,0.69667,1.0118,0.4431,0.28615,0.32274,0.14856,2.46968,2.77489,2.03142,0.00132043,0.00132043,0.00132043
23,8486.31,0.9728,0.74963,1.07233,0.36391,0.33621,0.32118,0.15457,2.48933,2.51666,2.03444,0.00130393,0.00130393,0.00130393
24,8533.66,0.9468,0.7369,1.04156,0.40464,0.30312,0.31788,0.14829,2.51654,2.39501,2.10273,0.00128742,0.00128742,0.00128742
