epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.9577,2.11592,3.94755,1.56642,0.8378,0.19101,0.23401,0.11125,2.08182,5.08103,1.66276,0.00011669,0.00011669,0.00011669
2,158.463,1.83345,2.67429,1.31574,0.33928,0.29152,0.24956,0.12597,2.35934,6.15731,1.69888,0.000247575,0.000247575,0.000247575
3,240.857,1.78364,2.42406,1.36586,0.30448,0.24645,0.24858,0.11383,2.44206,4.20737,1.81948,0.000375818,0.000375818,0.000375818
4,359.596,1.78492,2.12423,1.27996,0.24923,0.17391,0.11361,0.04699,2.56319,8.27775,1.91271,0.000501422,0.000501422,0.000501422
5,430.348,1.7303,2.14191,1.32506,0.0165,0.0447,0.00989,0.00555,2.56061,93.2853,2.06826,0.000624385,0.000624385,0.000624385
6,552.968,1.79929,2.20131,1.42429,0.00295,0.18453,0.00181,0.00085,2.53964,2681.23,2.17631,0.000744707,0.000744707,0.000744707
7,667.467,1.63683,2.13188,1.39259,0.00291,0.15718,0.00159,0.0007,2.90126,2508.91,2.89938,0.000862389,0.000862389,0.000862389
8,757.289,1.69821,2.18292,1.39176,0.00714,0.1236,0.00326,0.00148,3.12311,1087.03,2.67784,0.00097743,0.00097743,0.00097743
9,901.489,1.79549,1.92481,1.32988,0.17253,0.06742,0.04731,0.02442,3.06753,245.323,2.5425,0.00108983,0.00108983,0.00108983
10,1008.24,1.69115,1.92863,1.32442,0.37707,0.10112,0.11034,0.04528,3.03294,50.8441,2.61968,0.00119959,0.00119959,0.00119959
11,1149.69,1.77407,2.02653,1.45243,0.11765,0.06742,0.05097,0.02318,3.298,974.749,3.65843,0.00130671,0.00130671,0.00130671
12,1412.02,1.80929,2.05971,1.47061,0.06396,0.03933,0.0186,0.01115,3.58948,4480.08,4.53351,0.00141119,0.00141119,0.00141119
13,1530.96,1.76105,2.01487,1.4375,6e-05,0.00562,3e-05,1e-05,4.79674,167514,69.4099,0.00146896,0.00146896,0.00146896
14,1633.44,1.76263,1.96007,1.43321,0.13015,0.04482,0.01691,0.00594,3.42597,208088,726.114,0.00145246,0.00145246,0.00145246
15,1747.16,1.9657,2.01074,1.48755,0.00882,0.00562,0.00029,0.00014,4.99081,333731,2279.56,0.00143595,0.00143595,0.00143595
16,1849.83,1.73395,1.7651,1.38853,0.00023,0.00562,8e-05,4e-05,4.15876,84908.3,199.931,0.00141945,0.00141945,0.00141945
17,1941.96,1.7609,1.87162,1.49931,0.00884,0.06167,0.00226,0.00122,3.45176,1965.05,6.64635,0.00140295,0.00140295,0.00140295
18,2050.76,1.56571,1.79892,1.3267,0.00414,0.08328,0.00232,0.0012,3.24753,1463.97,8.81085,0.00138644,0.00138644,0.00138644
19,4191.97,1.70653,1.66128,1.32409,0.13176,0.05593,0.03414,0.01628,3.02675,498.818,9.30433,0.00136994,0.00136994,0.00136994
20,6160.51,1.56431,1.7366,1.3793,0.21106,0.06167,0.05099,0.02372,2.96366,68.7907,9.11881,0.00135344,0.00135344,0.00135344
21,7457.86,1.60155,1.82874,1.34297,0.38196,0.10112,0.10825,0.05449,2.84648,4.38083,4.6623,0.00133693,0.00133693,0.00133693
22,7578.95,1.61611,1.63006,1.35809,0.00387,0.01673,0.00138,0.00066,3.1966,216.128,4.04799,0.00132043,0.00132043,0.00132043
