epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8184,1.2489,2.72937,1.25025,0.35965,0.31998,0.3165,0.15565,2.27566,4.44484,1.83853,0.00028339,0.00028339,0.00028339
2,71.0928,1.06973,1.70622,1.04868,0.06575,0.23534,0.04616,0.02138,2.37621,128.964,1.93428,0.000577674,0.000577674,0.000577674
3,111.931,1.19742,1.66609,1.15994,0.08265,0.08976,0.03709,0.01608,2.94758,63.7748,2.29711,0.000866017,0.000866017,0.000866017
4,164.451,1.21402,1.59108,1.1831,0.02815,0.20774,0.00975,0.00347,2.83426,97.5688,2.34523,0.00114842,0.00114842,0.00114842
5,208.807,1.21932,1.73904,1.18161,0.13199,0.09551,0.04917,0.01723,3.08419,147.075,2.79262,0.00142488,0.00142488,0.00142488
6,257.799,1.22891,1.65076,1.16244,0.00301,0.2638,0.00222,0.0007,3.30683,176.279,3.10707,0.00158448,0.00158448,0.00158448
7,310.413,1.28058,1.53457,1.20054,0.00223,0.2241,0.0014,0.00053,3.41354,219.807,3.82205,0.00156798,0.00156798,0.00156798
8,371.161,1.1031,1.40938,1.15802,0.76822,0.16854,0.12611,0.05979,2.87628,6.99821,2.56632,0.00155148,0.00155148,0.00155148
9,428.233,1.1286,1.35209,1.14937,0.10825,0.13996,0.04568,0.01826,2.75015,5.37234,2.18761,0.00153497,0.00153497,0.00153497
10,494.201,1.09046,1.19437,1.11779,0.01635,0.22997,0.00355,0.00127,2.8168,208.702,2.27431,0.00151847,0.00151847,0.00151847
11,554.82,1.09453,1.15009,1.13749,0.04936,0.20774,0.01449,0.00595,2.93334,8.82701,2.34632,0.00150197,0.00150197,0.00150197
12,608.55,1.08065,1.0716,1.11003,0.41168,0.21324,0.22862,0.09236,2.96979,5.70406,2.52907,0.00148546,0.00148546,0.00148546
13,663.273,1.04058,0.98183,1.11954,0.23646,0.17881,0.11605,0.05012,2.71118,4.2519,2.23551,0.00146896,0.00146896,0.00146896
14,712.146,1.07254,0.98949,1.14773,0.26007,0.21336,0.19358,0.0906,2.59859,4.46598,2.09057,0.00145246,0.00145246,0.00145246
15,760.538,1.03679,1.01577,1.10643,0.52264,0.2241,0.26536,0.10486,2.82067,4.75462,2.32578,0.00143595,0.00143595,0.00143595
16,809.488,0.9509,0.88732,1.09281,0.42152,0.2638,0.29645,0.13065,2.67198,3.67459,2.26117,0.00141945,0.00141945,0.00141945
17,859.175,0.96663,0.90486,1.08066,0.32081,0.33658,0.27645,0.12439,2.65848,3.54463,2.28456,0.00140295,0.00140295,0.00140295
18,911.898,0.97477,0.84654,1.08538,0.35247,0.303,0.27178,0.12076,2.73923,3.06621,2.30995,0.00138644,0.00138644,0.00138644
19,956.798,0.92142,0.82111,1.0618,0.37339,0.28065,0.24157,0.11121,2.78292,3.22993,2.19633,0.00136994,0.00136994,0.00136994
20,997.603,0.91719,0.7922,1.04226,0.37309,0.2583,0.25494,0.11758,2.69904,3.12435,2.14859,0.00135344,0.00135344,0.00135344
21,1035.71,0.9219,0.80667,1.07079,0.38319,0.24376,0.25658,0.12042,2.82591,3.06873,2.2732,0.00133693,0.00133693,0.00133693
