epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3355,1.27013,2.00165,1.1694,0.01382,0.40412,0.01237,0.00474,2.59726,490.459,2.03022,0.000545744,0.000545744,0.000545744
2,149.469,1.24123,1.44303,1.16995,0.24096,0.17403,0.15091,0.05876,2.87143,5.90832,2.31828,0.00109051,0.00109051,0.00109051
3,234.907,1.25996,1.49177,1.22996,0.01229,0.16854,0.00861,0.00343,2.66576,20.1388,2.24999,0.00162427,0.00162427,0.00162427
4,325.547,1.25754,1.44369,1.22727,0.8762,0.20787,0.25279,0.08559,2.85485,3.38591,2.29722,0.00161749,0.00161749,0.00161749
5,417.314,1.17894,1.22737,1.17985,0.43519,0.29176,0.29592,0.12318,2.68196,2.65884,2.26695,0.00160099,0.00160099,0.00160099
6,522.877,1.1425,1.16051,1.1621,0.10105,0.21299,0.02631,0.01131,2.96683,18.4083,2.32997,0.00158448,0.00158448,0.00158448
7,627.144,1.1028,1.06062,1.13999,0.40532,0.30887,0.31063,0.13201,2.58384,2.59602,1.98043,0.00156798,0.00156798,0.00156798
8,719.135,1.05227,1.03636,1.10688,0.55875,0.29532,0.33154,0.14803,2.69302,2.7464,2.06483,0.00155148,0.00155148,0.00155148
9,839.323,1.06136,1.00364,1.11852,0.34991,0.34196,0.315,0.13129,2.54126,3.0246,2.13633,0.00153497,0.00153497,0.00153497
10,924.429,0.99224,0.93729,1.09438,0.40945,0.26905,0.28221,0.11639,2.57056,2.54609,2.09893,0.00151847,0.00151847,0.00151847
11,1025.73,0.94966,0.88948,1.07017,0.49516,0.34596,0.35922,0.16246,2.55123,2.60866,2.16066,0.00150197,0.00150197,0.00150197
12,1144.12,0.90486,0.83705,1.04111,0.42229,0.24871,0.26991,0.12432,2.64107,2.80364,2.22985,0.00148546,0.00148546,0.00148546
13,1252.69,0.91145,0.81736,1.03902,0.50025,0.32328,0.36121,0.15136,2.5465,2.58297,2.04793,0.00146896,0.00146896,0.00146896
14,1367.47,0.88193,0.82166,1.03296,0.40326,0.33153,0.33012,0.15225,2.53357,2.98875,2.03116,0.00145246,0.00145246,0.00145246
15,1476.98,0.86083,0.79738,1.02519,0.51727,0.28688,0.31839,0.1466,2.52652,2.62938,2.06151,0.00143595,0.00143595,0.00143595
16,1586.93,0.87636,0.80228,1.03891,0.47739,0.33109,0.27317,0.12706,2.40495,2.41936,1.99107,0.00141945,0.00141945,0.00141945
17,1699.91,0.83726,0.73446,1.00882,0.35547,0.31262,0.30738,0.15254,2.37831,2.54484,2.03608,0.00140295,0.00140295,0.00140295
18,1813.52,0.84092,0.75965,1.01752,0.46875,0.29738,0.30634,0.13783,2.5811,2.27571,2.09843,0.00138644,0.00138644,0.00138644
19,1928.4,0.83614,0.77406,1.02303,0.52738,0.29701,0.33714,0.14407,2.51568,2.51168,2.01757,0.00136994,0.00136994,0.00136994
20,2045.97,0.7655,0.69298,0.98165,0.46072,0.34031,0.30459,0.14607,2.65164,2.60833,2.20286,0.00135344,0.00135344,0.00135344
21,2161.17,0.78765,0.74706,1.0058,0.55497,0.36919,0.39559,0.16805,2.47787,2.29371,2.06549,0.00133693,0.00133693,0.00133693
22,2276.13,0.75538,0.70441,0.97568,0.44015,0.39252,0.39103,0.17298,2.40868,2.07038,1.9812,0.00132043,0.00132043,0.00132043
23,2393.86,0.73871,0.64628,0.96823,0.60809,0.28053,0.35087,0.17411,2.32469,2.11711,1.95159,0.00130393,0.00130393,0.00130393
24,2509.02,0.74528,0.64142,0.98313,0.67905,0.31424,0.34005,0.14973,2.58379,2.20077,2.16873,0.00128742,0.00128742,0.00128742
25,2626.58,0.70489,0.60193,0.9437,0.44162,0.34233,0.36785,0.16465,2.58874,2.23027,2.2163,0.00127092,0.00127092,0.00127092
26,2740.79,0.71687,0.62256,0.97271,0.52886,0.37029,0.38309,0.16649,2.49617,2.13013,2.14926,0.00125442,0.00125442,0.00125442
27,2857.37,0.68905,0.59549,0.96354,0.52069,0.3681,0.39064,0.18908,2.50595,2.34253,2.06063,0.00123791,0.00123791,0.00123791
28,2981.57,0.68619,0.58713,0.96232,0.51134,0.33646,0.35674,0.16768,2.41758,2.45304,1.92503,0.00122141,0.00122141,0.00122141
29,3078.93,0.70182,0.58297,0.96163,0.62219,0.31411,0.3622,0.16112,2.61314,2.11412,2.18225,0.00120491,0.00120491,0.00120491
30,3162.73,0.69195,0.59125,0.95132,0.45177,0.35881,0.36188,0.17009,2.58997,2.18509,2.13263,0.0011884,0.0011884,0.0011884
31,3738.23,0.68704,0.57468,0.94721,0.54868,0.31436,0.34863,0.17273,2.51036,2.28442,2.0739,0.0011719,0.0011719,0.0011719
32,4640.19,0.65574,0.57619,0.93213,0.49077,0.30394,0.34368,0.16256,2.6596,2.51666,2.24706,0.0011554,0.0011554,0.0011554
33,4786.94,0.6618,0.58936,0.94239,0.6194,0.36455,0.38728,0.1743,2.55697,2.2945,2.19247,0.00113889,0.00113889,0.00113889
34,4929.76,0.65278,0.56228,0.93406,0.49272,0.31973,0.31481,0.14542,2.50131,2.3241,2.0776,0.00112239,0.00112239,0.00112239
35,5068.99,0.6325,0.51719,0.92566,0.47737,0.3477,0.35829,0.15945,2.64685,2.30337,2.24967,0.00110589,0.00110589,0.00110589
36,6161.54,0.62736,0.50823,0.91266,0.54106,0.39276,0.39107,0.1832,2.52245,2.02058,2.06903,0.00108938,0.00108938,0.00108938
37,7248.92,0.63054,0.49213,0.91152,0.4735,0.39935,0.39952,0.18561,2.48565,2.16014,2.04704,0.00107288,0.00107288,0.00107288
38,9295.62,0.58737,0.47613,0.90204,0.57035,0.36467,0.39168,0.18237,2.54508,2.01766,2.06982,0.00105638,0.00105638,0.00105638
39,9457.19,0.5689,0.48105,0.89796,0.57024,0.35855,0.36419,0.16799,2.42324,2.10002,2.01887,0.00103987,0.00103987,0.00103987
40,10018.5,0.59129,0.50438,0.90945,0.59364,0.37005,0.38629,0.18984,2.38339,2.14355,2.01431,0.00102337,0.00102337,0.00102337
41,10096.8,0.61513,0.49368,0.90258,0.49722,0.3514,0.38593,0.17908,2.49726,2.10013,2.16894,0.00100687,0.00100687,0.00100687
42,10173.4,0.60472,0.4788,0.90239,0.5629,0.3477,0.38106,0.18177,2.41843,2.25751,2.00291,0.000990365,0.000990365,0.000990365
43,10252.3,0.58738,0.45596,0.89622,0.52471,0.34245,0.39263,0.17832,2.47886,2.11426,2.11638,0.000973861,0.000973861,0.000973861
44,10325.8,0.56433,0.47586,0.89885,0.46623,0.39777,0.40044,0.18303,2.41778,2.02121,2.09733,0.000957358,0.000957358,0.000957358
45,10404.3,0.5605,0.4557,0.89552,0.5119,0.33658,0.37124,0.17861,2.5462,2.12933,2.0913,0.000940855,0.000940855,0.000940855
46,10480.8,0.56211,0.45614,0.89844,0.54437,0.35166,0.39701,0.19253,2.49095,2.35766,2.07273,0.000924352,0.000924352,0.000924352
47,10558.2,0.54591,0.45047,0.88994,0.74659,0.31388,0.36225,0.16381,2.5264,2.40024,2.14346,0.000907848,0.000907848,0.000907848
48,10637.8,0.5232,0.42817,0.87492,0.49593,0.32523,0.35484,0.17275,2.43599,2.35013,2.04587,0.000891345,0.000891345,0.000891345
49,10714.9,0.5291,0.43293,0.90179,0.64523,0.34757,0.38538,0.17265,2.48573,2.20989,2.15405,0.000874842,0.000874842,0.000874842
50,10796.9,0.55144,0.44146,0.89373,0.60152,0.36418,0.37864,0.17636,2.56482,2.30672,2.15388,0.000858338,0.000858338,0.000858338
51,10927.9,0.53849,0.43635,0.88688,0.58295,0.39252,0.42231,0.20373,2.40023,2.09158,1.99734,0.000841835,0.000841835,0.000841835
52,11060.5,0.53419,0.43124,0.8896,0.59905,0.34377,0.38662,0.18487,2.50316,2.12771,2.1686,0.000825332,0.000825332,0.000825332
53,11224.6,0.5075,0.40803,0.88738,0.58595,0.37566,0.40317,0.18799,2.53306,2.09641,2.2144,0.000808828,0.000808828,0.000808828
54,11400.6,0.49728,0.39539,0.87199,0.56107,0.36417,0.37562,0.18525,2.53399,2.29595,2.20333,0.000792325,0.000792325,0.000792325
55,11615.5,0.50893,0.41033,0.89303,0.47685,0.35368,0.37507,0.18692,2.57847,2.12147,2.1973,0.000775822,0.000775822,0.000775822
56,11790.5,0.50938,0.40516,0.88876,0.75312,0.33132,0.38783,0.18575,2.53019,2.13432,2.19428,0.000759318,0.000759318,0.000759318
57,11963.6,0.52768,0.40765,0.88785,0.75259,0.33021,0.36882,0.18057,2.41583,2.1555,2.07768,0.000742815,0.000742815,0.000742815
58,12137.3,0.51292,0.40206,0.88548,0.52197,0.37005,0.38028,0.18661,2.43349,2.09249,2.08304,0.000726312,0.000726312,0.000726312
59,12280.7,0.49291,0.37913,0.89002,0.57033,0.29751,0.35204,0.17539,2.43586,2.32678,2.15198,0.000709809,0.000709809,0.000709809
60,12408.5,0.49601,0.3792,0.87954,0.58162,0.33634,0.37552,0.18488,2.52228,2.23254,2.19476,0.000693305,0.000693305,0.000693305
61,12487.1,0.48729,0.38475,0.88383,0.49069,0.3477,0.35546,0.17852,2.52133,2.32353,2.2139,0.000676802,0.000676802,0.000676802
