epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6569,1.23764,2.74061,1.2316,0.3866,0.31325,0.27782,0.12523,2.20384,3.9275,1.65172,0.00028339,0.00028339,0.00028339
2,65.8145,1.05455,1.76716,1.04116,0.20246,0.25232,0.17498,0.08972,2.33294,8.10309,1.89828,0.000577674,0.000577674,0.000577674
3,100.971,1.17912,1.8293,1.18142,0.0078,0.28065,0.00635,0.0029,2.68896,735.445,2.22216,0.000866017,0.000866017,0.000866017
4,140.27,1.20156,1.53922,1.18775,0.41737,0.27503,0.27725,0.12887,2.83849,4.08618,2.52845,0.00114842,0.00114842,0.00114842
5,184.274,1.25513,1.68308,1.24407,0.25165,0.17416,0.13294,0.05364,3.15963,7.82869,2.61758,0.00142488,0.00142488,0.00142488
6,227.139,1.20489,1.57585,1.22792,0.00549,0.15156,0.00361,0.00145,2.87416,651.796,6.28546,0.00158448,0.00158448,0.00158448
7,279.042,1.21714,1.4025,1.28314,0.00096,0.21564,0.00061,0.00022,3.71139,31811.7,43.5191,0.00156798,0.00156798,0.00156798
8,338.487,1.0905,1.24335,1.24411,0.09647,0.14607,0.08345,0.03386,3.07482,9.05852,3.16552,0.00155148,0.00155148,0.00155148
9,393.212,1.13024,1.19025,1.21228,0.05991,0.11236,0.02043,0.00947,3.21755,11.8245,3.19047,0.00153497,0.00153497,0.00153497
10,453.71,1.13585,1.13105,1.20246,0.21237,0.06143,0.02107,0.0081,3.10721,11.9591,2.80756,0.00151847,0.00151847,0.00151847
11,505.536,1.11528,1.16963,1.22481,0.16233,0.14008,0.01163,0.00296,3.25691,148.44,3.23034,0.00150197,0.00150197,0.00150197
12,570.6,1.01606,1.02418,1.1394,0.284,0.22366,0.14465,0.05266,2.97431,5.24794,2.60634,0.00148546,0.00148546,0.00148546
13,624.807,1.00482,1.01337,1.14699,0.40587,0.27486,0.262,0.09714,2.93723,3.82215,2.47812,0.00146896,0.00146896,0.00146896
14,674.201,0.9689,0.94795,1.14844,0.31506,0.29738,0.27349,0.12639,2.57692,4.01155,2.1458,0.00145246,0.00145246,0.00145246
15,718.926,1.00746,1.0958,1.16179,0.31722,0.20749,0.18828,0.07199,2.62919,5.54421,2.15619,0.00143595,0.00143595,0.00143595
16,761.941,0.93796,1.08131,1.12574,0.3751,0.26929,0.3187,0.13538,2.59088,3.6999,2.17869,0.00141945,0.00141945,0.00141945
17,803.579,0.91904,0.93956,1.12046,0.40787,0.3101,0.32404,0.1503,2.67482,3.183,2.19664,0.00140295,0.00140295,0.00140295
18,853.071,0.91283,0.85936,1.11346,0.16727,0.26917,0.14302,0.06045,2.74661,3.2558,2.37914,0.00138644,0.00138644,0.00138644
19,891.512,0.93871,0.84274,1.1113,0.35559,0.26942,0.26179,0.12577,2.79726,3.35559,2.4453,0.00136994,0.00136994,0.00136994
20,935.283,0.89336,0.96706,1.07842,0.41996,0.29189,0.31563,0.16381,2.70276,2.90532,2.2321,0.00135344,0.00135344,0.00135344
21,970.436,0.93246,0.93487,1.12401,0.47469,0.29176,0.32906,0.16554,2.76218,3.10527,2.27664,0.00133693,0.00133693,0.00133693
22,1004.44,0.82949,0.82669,1.05717,0.3804,0.33109,0.3337,0.16499,2.50921,2.88589,2.09858,0.00132043,0.00132043,0.00132043
23,1041.1,0.83378,0.79811,1.05644,0.50023,0.32854,0.23043,0.11077,2.55596,3.06575,2.23344,0.00130393,0.00130393,0.00130393
24,1073.88,0.8261,0.76042,1.0787,0.3706,0.30325,0.30403,0.12854,2.65662,2.81615,2.20608,0.00128742,0.00128742,0.00128742
25,1108.49,0.94452,0.81932,1.13777,0.3397,0.31411,0.26565,0.11,2.89172,2.80309,2.37258,0.00127092,0.00127092,0.00127092
26,1142.34,0.83807,0.71999,1.06489,0.46292,0.28065,0.28778,0.12485,2.70013,2.81875,2.17775,0.00125442,0.00125442,0.00125442
27,1175.7,0.82441,0.70113,1.11534,0.38829,0.32022,0.33138,0.15857,2.5401,2.57994,2.12021,0.00123791,0.00123791,0.00123791
28,1207.71,0.79359,0.73899,1.04077,0.4159,0.29726,0.29741,0.1371,2.61297,2.46157,2.17486,0.00122141,0.00122141,0.00122141
29,1239.85,0.79747,0.75291,1.05026,0.44738,0.29751,0.32575,0.15218,2.61273,2.70865,2.27509,0.00120491,0.00120491,0.00120491
30,1271.36,0.81865,0.79958,1.0482,0.23152,0.2809,0.19483,0.08059,2.86002,3.17662,2.37377,0.0011884,0.0011884,0.0011884
31,1304.28,0.80172,0.74063,1.03325,0.41252,0.24133,0.27655,0.1116,2.89133,2.92467,2.40288,0.0011719,0.0011719,0.0011719
32,1336.51,0.75411,0.71244,1.02441,0.40001,0.27503,0.28354,0.12019,2.87697,2.754,2.43662,0.0011554,0.0011554,0.0011554
33,1369.6,0.75018,0.73865,1.00984,0.37306,0.28652,0.31318,0.14525,2.87679,2.86249,2.54393,0.00113889,0.00113889,0.00113889
34,1447.24,0.73837,0.69733,1.01592,0.44552,0.31773,0.34427,0.15993,2.73547,2.54863,2.36626,0.00112239,0.00112239,0.00112239
35,1478.88,0.75468,0.66865,1.02577,0.45812,0.30325,0.33809,0.15074,2.61267,2.61455,2.20728,0.00110589,0.00110589,0.00110589
36,1509.56,0.7109,0.628,0.98753,0.4045,0.28652,0.32787,0.14899,2.67218,2.82388,2.14247,0.00108938,0.00108938,0.00108938
37,1542.25,0.72618,0.63896,0.9935,0.43452,0.31652,0.35049,0.15455,2.6149,2.56803,2.13386,0.00107288,0.00107288,0.00107288
38,1575.15,0.71396,0.64749,1.01442,0.4039,0.31948,0.32692,0.16075,2.7659,2.64433,2.39333,0.00105638,0.00105638,0.00105638
39,1607.5,0.72036,0.61923,1.03243,0.51082,0.30926,0.33688,0.16548,2.66063,2.48681,2.28341,0.00103987,0.00103987,0.00103987
40,1639.3,0.68181,0.58736,0.99507,0.41985,0.35266,0.32062,0.15071,2.76207,2.67936,2.29351,0.00102337,0.00102337,0.00102337
41,1671.39,0.67857,0.61927,0.96992,0.47372,0.30003,0.33044,0.15388,2.60922,2.76351,2.16472,0.00100687,0.00100687,0.00100687
