epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3677,2.443,4.65992,1.88541,0.16638,0.18491,0.12959,0.05583,2.03547,6.29275,1.69269,8.335e-05,8.335e-05,8.335e-05
2,38.5811,2.11479,3.12578,1.5673,0.30994,0.21348,0.25055,0.10137,1.94341,3.82578,1.6432,0.000179739,0.000179739,0.000179739
3,58.1543,2.09287,2.61494,1.52646,0.3358,0.23558,0.22765,0.09032,2.17957,4.84445,1.71721,0.000272168,0.000272168,0.000272168
4,82.8529,2.18371,2.46519,1.58772,0.26361,0.25793,0.20757,0.08078,2.42277,5.78397,1.77114,0.000360635,0.000360635,0.000360635
5,108.602,1.87593,2.39499,1.48108,0.32805,0.32675,0.27511,0.12017,2.41339,4.71667,1.79936,0.000445142,0.000445142,0.000445142
6,137.776,1.85422,2.23146,1.46998,0.22879,0.2191,0.17015,0.06624,2.41363,5.10528,1.75721,0.000525688,0.000525688,0.000525688
7,168.429,1.66883,2.40814,1.52719,0.14936,0.14594,0.08513,0.0223,2.69562,5.07676,1.98413,0.000602274,0.000602274,0.000602274
8,199.303,1.90956,2.2878,1.49749,0.26618,0.17953,0.17602,0.0588,2.77902,6.582,2.10378,0.000674898,0.000674898,0.000674898
9,237.491,1.89452,2.30063,1.59002,0.33306,0.22472,0.23903,0.10336,2.66285,7.84481,2.04686,0.000743562,0.000743562,0.000743562
10,282.179,2.01075,2.3748,1.53838,0.24938,0.23034,0.18872,0.06854,2.86281,8.59565,2.28194,0.000808265,0.000808265,0.000808265
11,328.49,1.98694,2.30569,1.74159,0.19334,0.21873,0.15384,0.05489,2.76614,8.05608,2.27185,0.000869007,0.000869007,0.000869007
12,370.672,1.79626,2.06493,1.611,0.2442,0.25207,0.18785,0.07033,2.79689,29.6188,2.57139,0.000925788,0.000925788,0.000925788
13,410.769,1.71106,2.02058,1.55615,0.00225,0.21898,0.00174,0.00064,3.11919,236.206,4.37896,0.000978609,0.000978609,0.000978609
14,455.532,1.60254,1.92429,1.50452,0.03906,0.11798,0.01609,0.00555,3.35383,16.9223,3.35651,0.00102747,0.00102747,0.00102747
15,470.729,1.72261,2.12058,1.65419,0.04012,0.1196,0.01718,0.00606,3.35383,16.9223,3.35651,0.00107237,0.00107237,0.00107237
16,509.445,1.87718,1.84676,1.48901,0.45793,0.12233,0.14581,0.06143,3.16075,10.9139,2.76913,0.00111331,0.00111331,0.00111331
17,568.66,1.74104,2.23095,1.82324,0.22099,0.16021,0.14849,0.06797,3.28129,14.9273,3.12189,0.00113889,0.00113889,0.00113889
18,640.838,1.94767,2.13624,1.62332,0.01206,0.02247,0.00204,0.0006,3.82233,23.1552,4.36867,0.00110589,0.00110589,0.00110589
19,691.327,1.95764,2.06096,1.74347,0.01535,0.04494,0.003,0.00076,3.82233,23.1552,4.36867,0.00107288,0.00107288,0.00107288
20,758.936,1.83522,1.63371,1.55739,0.4169,0.17953,0.19633,0.08089,3.02039,7.78489,3.33373,0.00103987,0.00103987,0.00103987
